650600.0 0.00
655680.0 0.01
660800.0 0.01
665960.0 0.03
671170.0 0.04
676410.0 0.06
681690.0 0.08
687020.0 0.10
692380.0 0.11
697790.0 0.13
703240.0 0.14
708740.0 0.15
714270.0 0.15
719850.0 0.16
725470.0 0.17
731140.0 0.18
736850.0 0.18
742610.0 0.19
748410.0 0.20
754250.0 0.21
760150.0 0.22
766080.0 0.23
772070.0 0.24
778100.0 0.27
784180.0 0.29
790300.0 0.31
796480.0 0.34
802700.0 0.36
808970.0 0.38
815290.0 0.40
821660.0 0.42
828070.0 0.43
834540.0 0.45
841060.0 0.47
847630.0 0.49
854250.0 0.51
860920.0 0.52
867650.0 0.54
874430.0 0.56
881260.0 0.57
888140.0 0.59
895080.0 0.61
902070.0 0.63
909120.0 0.66
916220.0 0.68
923370.0 0.71
930590.0 0.74
937860.0 0.76
945180.0 0.79
952570.0 0.81
960010.0 0.83
967510.0 0.84
975060.0 0.86
982680.0 0.88
990350.0 0.89
998090.0 0.91
1005890.0 0.95
1013740.0 0.96
1021660.0 0.97
1029640.0 0.98
1037690.0 0.99
1045790.0 1.00
1053960.0 1.00
1062190.0 1.00
1070490.0 1.00
1078850.0 0.99
1087280.0 0.99
1095770.0 0.99
1104330.0 0.98
1112960.0 0.95
1121650.0 0.88
1130410.0 0.81
1139240.0 0.72
1148140.0 0.64
1157110.0 0.54
1166150.0 0.44
1175260.0 0.35
1184440.0 0.27
1193690.0 0.20
1203020.0 0.16
1212410.0 0.12
1221880.0 0.09
1231430.0 0.07
1241050.0 0.06
1250740.0 0.05
1260510.0 0.04
1270360.0 0.03
1280280.0 0.03
1290280.0 0.02
1300360.0 0.02
1310520.0 0.02
1320760.0 0.01
1331070.0 0.01
1341470.0 0.01
1351950.0 0.00
