301140.0 0.00
303490.0 0.01
305860.0 0.01
308250.0 0.01
310660.0 0.01
313090.0 0.01
315530.0 0.01
318000.0 0.01
320480.0 0.02
322990.0 0.02
325510.0 0.02
328050.0 0.02
330610.0 0.02
333200.0 0.02
335800.0 0.02
338420.0 0.02
341070.0 0.02
343730.0 0.02
346410.0 0.01
349120.0 0.01
351850.0 0.01
354600.0 0.01
357370.0 0.01
360160.0 0.00
362970.0 0.00
365810.0 0.00
368660.0 0.00
371540.0 0.00
374440.0 0.00
377370.0 0.00
380320.0 0.03
383290.0 0.06
386280.0 0.09
389300.0 0.11
392340.0 0.13
395410.0 0.16
398490.0 0.19
401610.0 0.22
404740.0 0.24
407910.0 0.27
411090.0 0.30
414300.0 0.34
417540.0 0.37
420800.0 0.39
424090.0 0.42
427400.0 0.45
430740.0 0.48
434100.0 0.50
437490.0 0.53
440910.0 0.56
444360.0 0.59
447830.0 0.62
451320.0 0.65
454850.0 0.67
458400.0 0.69
461980.0 0.70
465590.0 0.72
469230.0 0.73
472890.0 0.74
476590.0 0.75
480310.0 0.76
484060.0 0.77
487840.0 0.78
491660.0 0.79
495500.0 0.80
499370.0 0.81
503270.0 0.83
507200.0 0.84
511160.0 0.85
515150.0 0.86
519180.0 0.87
523230.0 0.88
527320.0 0.89
531440.0 0.89
535590.0 0.89
539770.0 0.89
543990.0 0.90
548240.0 0.90
552520.0 0.91
556840.0 0.92
561190.0 0.94
565570.0 0.96
569990.0 0.97
574440.0 0.98
578930.0 0.98
583450.0 0.99
588010.0 0.99
592600.0 0.99
597230.0 0.99
601890.0 1.00
606600.0 1.00
611330.0 1.00
616110.0 1.00
620920.0 1.00
625770.0 1.00
630660.0 0.97
635590.0 0.95
640550.0 0.93
645560.0 0.90
650600.0 0.88
655680.0 0.84
660800.0 0.80
665960.0 0.77
671170.0 0.73
676410.0 0.69
681690.0 0.66
687020.0 0.62
692380.0 0.58
697790.0 0.55
703240.0 0.52
708740.0 0.49
714270.0 0.46
719850.0 0.42
725470.0 0.37
731140.0 0.32
736850.0 0.27
742610.0 0.23
748410.0 0.20
754250.0 0.17
760150.0 0.14
766080.0 0.10
772070.0 0.08
778100.0 0.07
784180.0 0.06
790300.0 0.04
796480.0 0.03
802700.0 0.02
808970.0 0.01
815290.0 0.01
821660.0 0.00
